Device/Package xc7a100tfgg676 6/6/2012 10:07:15                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
L24   IO_L9P_T1_DQS_14              1                  14    NA            NA                  HR        NA
L25   IO_L9N_T1_DQS_D13_14          1                  14    NA            NA                  HR        NA
M24   IO_L10P_T1_D14_14             1                  14    NA            NA                  HR        NA
M25   IO_L10N_T1_D15_14             1                  14    NA            NA                  HR        NA
L22   IO_L11P_T1_SRCC_14            1                  14    NA            NA                  HR        NA
L23   IO_L11N_T1_SRCC_14            1                  14    NA            NA                  HR        NA
M21   IO_L12P_T1_MRCC_14            1                  14    NA            NA                  HR        NA
M22   IO_L12N_T1_MRCC_14            1                  14    NA            NA                  HR        NA
N21   IO_L13P_T2_MRCC_14            2                  14    NA            NA                  HR        NA
N22   IO_L13N_T2_MRCC_14            2                  14    NA            NA                  HR        NA
P20   IO_L14P_T2_SRCC_14            2                  14    NA            NA                  HR        NA
P21   IO_L14N_T2_SRCC_14            2                  14    NA            NA                  HR        NA
N23   IO_L15P_T2_DQS_RDWR_B_14      2                  14    NA            NA                  HR        NA
N24   IO_L15N_T2_DQS_DOUT_CSO_B_14  2                  14    NA            NA                  HR        NA
P19   IO_L16P_T2_CSI_B_14           2                  14    NA            NA                  HR        NA
N19   IO_L16N_T2_A15_D31_14         2                  14    NA            NA                  HR        NA
P23   IO_L17P_T2_A14_D30_14         2                  14    NA            NA                  HR        NA
P24   IO_L17N_T2_A13_D29_14         2                  14    NA            NA                  HR        NA
R20   IO_L18P_T2_A12_D28_14         2                  14    NA            NA                  HR        NA
R21   IO_L18N_T2_A11_D27_14         2                  14    NA            NA                  HR        NA
R25   IO_L19P_T3_A10_D26_14         3                  14    NA            NA                  HR        NA
P25   IO_L19N_T3_A09_D25_VREF_14    3                  14    NA            NA                  HR        NA
N26   IO_L20P_T3_A08_D24_14         3                  14    NA            NA                  HR        NA
M26   IO_L20N_T3_A07_D23_14         3                  14    NA            NA                  HR        NA
T24   IO_L21P_T3_DQS_14             3                  14    NA            NA                  HR        NA
T25   IO_L21N_T3_DQS_A06_D22_14     3                  14    NA            NA                  HR        NA
R26   IO_L22P_T3_A05_D21_14         3                  14    NA            NA                  HR        NA
P26   IO_L22N_T3_A04_D20_14         3                  14    NA            NA                  HR        NA
T22   IO_L23P_T3_A03_D19_14         3                  14    NA            NA                  HR        NA
R22   IO_L23N_T3_A02_D18_14         3                  14    NA            NA                  HR        NA
T23   IO_L24P_T3_A01_D17_14         3                  14    NA            NA                  HR        NA
R23   IO_L24N_T3_A00_D16_14         3                  14    NA            NA                  HR        NA
R18   IO_25_14                      NA                 14    NA            NA                  HR        NA
K18   IO_0_15                       NA                 15    NA            NA                  HR        NA
K15   IO_L1P_T0_AD0P_15             0                  15    NA            NA                  HR        NA
J16   IO_L1N_T0_AD0N_15             0                  15    NA            NA                  HR        NA
J14   IO_L2P_T0_AD8P_15             0                  15    NA            NA                  HR        NA
J15   IO_L2N_T0_AD8N_15             0                  15    NA            NA                  HR        NA
K16   IO_L3P_T0_DQS_AD1P_15         0                  15    NA            NA                  HR        NA
K17   IO_L3N_T0_DQS_AD1N_15         0                  15    NA            NA                  HR        NA
M14   IO_L4P_T0_15                  0                  15    NA            NA                  HR        NA
L14   IO_L4N_T0_15                  0                  15    NA            NA                  HR        NA
M15   IO_L5P_T0_AD9P_15             0                  15    NA            NA                  HR        NA
L15   IO_L5N_T0_AD9N_15             0                  15    NA            NA                  HR        NA
M16   IO_L6P_T0_15                  0                  15    NA            NA                  HR        NA
M17   IO_L6N_T0_VREF_15             0                  15    NA            NA                  HR        NA
J19   IO_L7P_T1_AD2P_15             1                  15    NA            NA                  HR        NA
H19   IO_L7N_T1_AD2N_15             1                  15    NA            NA                  HR        NA
L17   IO_L8P_T1_AD10P_15            1                  15    NA            NA                  HR        NA
L18   IO_L8N_T1_AD10N_15            1                  15    NA            NA                  HR        NA
